"Species","Category","LMR","MaxMass..mg.","mSeed..mg.","Dist..m.","Gmax","Memo..weeks.","SLA.comb.","Palat","Clonal","meanSpacerLength..cm.","sdSpacerLength..cm.","Resshare","Note","STE_I1","ANA_I1","BLS_I1","ALP_I1","ATL_I1","BOR_I1","CON_I1","PAN_I1","MED_I1","MAC_I1"
"Cyanus segetum","Non-crop",0.5,2000,1,0.1,40,4,0.2961155,NA,"0","0","0","0","",1,0,0,1,1,1,1,1,1,0
"Cynanchum acutum","Non-crop",0.5,5000,1,0.1,40,4,0.5,0.25,"1","17.5","17.5","1","",1,0,0,0,0,0,0,0,0,0
"Cynodon dactylon","Non-crop",0.5,1000,0.1,0.6,60,2,0.139723489894837,1,"1","2.5","2.5","1","",1,0,1,0,0,0,0,1,1,0
"Cyperus rotundus","Non-crop",0.5,1000,0.1,0.6,40,4,0.5,1,"1","2.5","2.5","1","",0,0,0,0,0,0,0,0,0,1
"Dactylis glomerata","Non-crop",0.5,2000,1,0.1,60,2,0.253425883879411,1,"1","2.5","2.5","1","",0,0,0,0,1,1,0,0,0,0
"Dasypyrum villosum","Non-crop",0.5,2000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Daucus carota","Crop",0.5,2000,1,0.1,60,2,0.165519806420811,1,"0","0","0","0","",0,0,0,1,0,0,1,1,1,0
"Descurainia sophia","Non-crop",1,2000,0.1,0.6,60,2,0.209084967333333,1,"0","0","0","0","",1,0,0,0,0,0,0,1,0,0
"Dianthus corymbosus","Non-crop",1,1000,0.3,0.3,40,4,0.5,0.25,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Dianthus pseudarmeria","Non-crop",1,1000,0.3,0.3,40,4,0.5,0.25,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Digitaria sanguinalis","Non-crop",1,1000,0.3,0.3,40,4,0.338570098328918,1,"0","0","0","0","",0,0,0,0,0,0,0,1,0,1
"Diplotaxis erucoides","Non-crop",1,1000,0.1,0.6,20,6,0.5,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,1,0
"Diplotaxis muralis","Non-crop",1,1000,0.1,0.6,60,2,0.5,NA,"0","0","0","0","",1,0,0,0,0,0,0,0,0,0
"Diplotaxis tenuifolia","Non-crop",0.5,2000,0.3,0.3,60,2,0.2244,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Draba bryoides","Non-crop",0.5,1000,0.1,0.6,NA,NA,NA,NA,"","","","","Turkey",0,1,0,0,0,0,0,0,0,0
"Draba verna aggr.","Non-crop",1,1000,0.1,0.6,40,4,0.5,NA,"0","0","0","0","",0,0,0,0,0,1,0,1,1,0
"Echinochloa crus-galli","Non-crop",0.5,2000,1,0.1,60,2,0.239286811208,0.25,"0","0","0","0","",1,0,1,1,1,1,1,1,0,0
